,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,0,1494,386,2013,1155,990,764,689,176,145,1793,546,513,754,701,411,314,1216,714,1083,722,944,229,543,1676,820,1922,1097,840,1148,986,498,1257,559,678,2142,756,1046,333,1123,265,691,1531,1106,613,2168,490,760,1188
Arizona,1494,0,1129,629,586,2208,2057,1976,1637,1586,730,1311,1494,1150,986,1551,1244,2365,2004,2294,1615,1280,1268,1161,902,983,576,2269,2097,378,2154,1896,1091,1662,839,979,1985,2273,1784,977,1441,868,500,2225,1954,1091,1727,1389,660
Arkansas,386,1129,0,1629,771,1170,977,895,554,458,1412,380,488,479,351,480,304,1370,923,1263,693,708,207,266,1311,483,1537,1257,1035,770,1138,776,943,630,296,1760,929,1233,655,790,329,438,1145,1239,852,1792,645,599,809
California,2013,629,1629,0,892,2551,2446,2372,2174,2079,442,1698,1882,1481,1384,1969,1807,2664,2397,2626,1941,1518,1802,1575,733,1322,101,2588,2467,877,2483,2343,1190,2045,1335,447,2357,2614,2263,1162,1900,1462,529,2526,2372,590,2138,1695,901
Colorado,1155,586,771,892,0,1680,1559,1484,1325,1202,642,808,993,602,493,1078,1007,1816,1510,1761,1072,698,966,684,593,437,794,1729,1586,289,1618,1452,528,1158,500,990,1475,1745,1378,394,1014,767,378,1676,1481,1031,1247,833,95
Connecticut,990,2208,1170,2551,1680,0,234,302,1013,845,2190,897,717,1078,1221,690,1288,232,279,94,610,1046,1163,1051,1957,1244,2450,116,152,1830,84,521,1424,552,1404,2498,242,65,696,1400,849,1600,2021,173,388,2462,528,855,1654
Delaware,764,2057,977,2446,1559,234,0,82,779,619,2111,754,568,966,1080,508,1068,465,54,322,531,984,948,897,1900,1124,2345,349,84,1680,258,288,1374,402,1232,2435,106,283,462,1322,649,1398,1918,384,155,2413,334,770,1545
District of Columbia,689,1976,895,2372,1484,302,82,0,714,544,2043,677,491,893,1002,427,990,531,28,394,474,924,868,817,1837,1049,2272,412,151,1599,310,231,1314,327,1150,2369,95,357,399,1256,567,1316,1845,436,98,2351,252,706,1472
Florida,176,1637,554,2174,1325,1013,779,714,0,229,1966,712,652,927,877,535,408,1244,735,1101,847,1110,372,719,1852,997,2085,1126,861,1303,1023,493,1432,663,841,2314,796,1061,317,1299,420,802,1699,1148,625,2343,566,916,1361
Georgia,145,1586,458,2079,1202,845,619,544,229,0,1831,506,426,737,724,307,454,1072,569,938,618,900,350,546,1692,831,1985,953,695,1228,842,357,1242,437,753,2178,612,901,204,1121,214,816,1581,963,469,2194,353,697,1224
